 ID     OWNER          SUBMITTED   RUN_TIME     ST COMPLETED   CMD            
145796.39  hrmoncadalopez 10/3  13:08   0+00:27:14 C  10/3  15:24 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.27  hrmoncadalopez 10/3  13:08   0+00:27:44 C  10/3  15:12 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.36  hrmoncadalopez 10/3  13:08   0+00:27:23 C  10/3  15:11 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.40  hrmoncadalopez 10/3  13:08   0+00:27:19 C  10/3  15:11 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.33  hrmoncadalopez 10/3  13:08   0+00:25:59 C  10/3  15:11 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.41  hrmoncadalopez 10/3  13:08   0+00:25:51 C  10/3  15:11 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.42  hrmoncadalopez 10/3  13:08   0+00:12:13 C  10/3  14:56 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.31  hrmoncadalopez 10/3  13:08   0+00:27:37 C  10/3  14:45 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.32  hrmoncadalopez 10/3  13:08   0+00:27:29 C  10/3  14:45 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.38  hrmoncadalopez 10/3  13:08   0+00:27:24 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.35  hrmoncadalopez 10/3  13:08   0+00:27:24 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.21  hrmoncadalopez 10/3  13:08   0+00:27:18 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.34  hrmoncadalopez 10/3  13:08   0+00:27:15 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.29  hrmoncadalopez 10/3  13:08   0+00:27:14 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.37  hrmoncadalopez 10/3  13:08   0+00:27:13 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.15  hrmoncadalopez 10/3  13:08   0+00:27:53 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.28  hrmoncadalopez 10/3  13:08   0+00:27:32 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.24  hrmoncadalopez 10/3  13:08   0+00:27:28 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.30  hrmoncadalopez 10/3  13:08   0+00:27:27 C  10/3  14:44 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.23  hrmoncadalopez 10/3  13:08   0+00:27:49 C  10/3  14:17 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.19  hrmoncadalopez 10/3  13:08   0+00:27:44 C  10/3  14:17 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.26  hrmoncadalopez 10/3  13:08   0+00:27:37 C  10/3  14:17 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.17  hrmoncadalopez 10/3  13:08   0+00:27:29 C  10/3  14:17 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.20  hrmoncadalopez 10/3  13:08   0+00:27:22 C  10/3  14:16 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.7   hrmoncadalopez 10/3  13:08   0+00:27:19 C  10/3  14:16 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.25  hrmoncadalopez 10/3  13:08   0+00:27:16 C  10/3  14:16 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.22  hrmoncadalopez 10/3  13:08   0+00:27:16 C  10/3  14:16 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.11  hrmoncadalopez 10/3  13:08   0+00:27:47 C  10/3  14:16 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.16  hrmoncadalopez 10/3  13:08   0+00:27:46 C  10/3  14:16 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.2   hrmoncadalopez 10/3  13:08   0+00:27:35 C  10/3  14:16 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.18  hrmoncadalopez 10/3  13:08   0+00:27:24 C  10/3  14:15 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.8   hrmoncadalopez 10/3  13:08   0+00:40:06 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.0   hrmoncadalopez 10/3  13:08   0+00:40:04 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.13  hrmoncadalopez 10/3  13:08   0+00:40:03 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.9   hrmoncadalopez 10/3  13:08   0+00:40:02 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.3   hrmoncadalopez 10/3  13:08   0+00:40:01 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.12  hrmoncadalopez 10/3  13:08   0+00:40:01 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.4   hrmoncadalopez 10/3  13:08   0+00:39:59 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.5   hrmoncadalopez 10/3  13:08   0+00:39:59 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.10  hrmoncadalopez 10/3  13:08   0+00:39:40 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.1   hrmoncadalopez 10/3  13:08   0+00:39:38 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.6   hrmoncadalopez 10/3  13:08   0+00:39:36 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145796.14  hrmoncadalopez 10/3  13:08   0+00:39:36 C  10/3  13:48 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
